Date , FIT101 Total m3 , FIT210 Total m3 , FIT230 Total m3 , FIT250 Total m3 , FIT401 Total m3 
15/11/2023 9:43:01 AM,208.906,0,0,0,178.7425
15/11/2023 10:43:01 AM,208.906,1.189844E-02,0,0,178.7491
15/11/2023 11:43:01 AM,208.906,1.189844E-02,0,0,178.7491
15/11/2023 12:43:00 PM,208.9093,1.189844E-02,0,0,178.7491
15/11/2023 1:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 2:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 3:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 4:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 5:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 6:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 7:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 8:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 9:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 10:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
15/11/2023 11:43:00 PM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 12:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 1:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 2:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 3:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 4:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 5:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 6:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 7:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 8:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 9:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 10:43:00 AM,209.0971,1.189844E-02,0,0,178.7491
16/11/2023 11:43:00 AM,209.1052,1.852538E-02,0,0,178.766
16/11/2023 12:43:00 PM,209.1185,1.852538E-02,0,0,178.766
2023-11-16 1:43:01 PM,209.1269,1.852538E-02,0,0,178.7663
2023-11-16 2:43:01 PM,209.1269,1.852538E-02,0,0,178.7663
2023-11-16 3:43:01 PM,209.3015,0.1410767,0,0,178.7663
2023-11-16 4:43:01 PM,209.6122,0.1693879,0.1047997,0.1983742,178.7663
2023-11-16 5:43:01 PM,209.6122,0.1693879,0.1047997,0.1984008,178.7663
2023-11-16 6:43:00 PM,209.6122,0.1693879,0.1047997,0.2455821,178.7663
2023-11-16 7:43:00 PM,209.6122,0.1693879,0.1047997,1.126764,178.7663
2023-11-16 8:43:00 PM,209.6122,0.1693879,0.1047997,1.890773,178.7663
2023-11-16 9:43:00 PM,209.6122,0.1693879,0.1047997,1.890773,178.7663
2023-11-16 10:43:00 PM,209.6122,0.1693879,0.1047997,1.890773,178.7663
2023-11-16 11:43:00 PM,209.6122,0.1693879,0.1047997,1.890773,178.7663
2023-11-17 12:43:00 AM,209.6122,0.1693879,0.1047997,1.890773,178.7663
2023-11-17 1:43:00 AM,209.6122,0.1693879,0.1047997,1.937392,178.7663
2023-11-17 2:43:00 AM,209.6122,0.1693879,0.1047997,1.9741,178.7663
2023-11-17 3:43:00 AM,209.6122,0.1693879,0.1047997,1.9741,178.7663
2023-11-17 4:43:00 AM,209.6122,0.1693879,0.1047997,1.9741,178.7663
2023-11-17 5:43:00 AM,209.6122,0.1693879,0.1047997,1.9741,178.7663
2023-11-17 6:43:00 AM,209.6122,0.1693879,0.1047997,1.9741,178.7663
2023-11-17 7:43:00 AM,209.6122,0.1693879,0.1047997,1.9741,178.7663
2023-11-17 8:43:00 AM,209.6122,0.1693879,0.1047997,2.29189,178.7663
2023-11-17 9:43:00 AM,209.6155,0.1693879,0.1081358,2.538729,178.7663
2023-11-17 10:43:00 AM,209.6156,0.1733933,0.1087052,3.136081,178.7663
2023-11-17 11:43:00 AM,209.6156,0.173965,0.108985,3.617153,178.7663
2023-11-17 12:43:00 PM,209.6156,0.173965,0.1089919,3.875627,178.7663
2023-11-17 1:43:00 PM,209.669,0.1765699,0.1403083,4.008509,178.7663
2023-11-17 2:43:00 PM,209.6898,0.1765776,0.144482,4.195191,178.7663
2023-11-17 3:43:00 PM,209.6898,0.1765776,0.144482,4.195191,178.7663
2023-11-17 4:43:01 PM,209.2551,1.852538E-02,0,0,178.7663
2023-11-17 5:43:01 PM,209.5138,1.852538E-02,0,0,178.7663
2023-11-17 6:43:00 PM,209.7754,1.852538E-02,0,0,178.7663
2023-11-17 7:43:00 PM,210.0748,1.852538E-02,1.116416E-04,0,178.7663
2023-11-17 8:43:00 PM,210.3989,1.852538E-02,1.116416E-04,0,178.7663
2023-11-17 9:43:00 PM,210.7216,1.852538E-02,1.116416E-04,0,178.7663
2023-11-17 10:43:00 PM,210.957,2.152331E-02,1.116416E-04,0,178.7663
2023-11-17 11:43:00 PM,210.9981,2.152331E-02,1.116416E-04,0,178.7663
2023-11-18 12:43:00 AM,210.9981,2.152331E-02,1.116416E-04,0,178.7663
2023-11-18 1:43:00 AM,210.9981,2.152331E-02,1.021894E-03,0,178.7663
2023-11-18 2:43:00 AM,210.9981,2.152873E-02,1.021894E-03,0,178.7663
2023-11-18 3:43:01 AM,210.9981,2.152873E-02,1.021894E-03,1.591435E-05,178.7663
