Date , FIT101 Total m3 , FIT210 Total m3 , FIT230 Total m3 , FIT250 Total m3 , FIT401 Total m3 
2023-12-04 9:43:01 AM,1.256624,1.464896,0.4945011,5.325238,2.921854
2023-12-04 10:43:01 AM,1.465364,1.464896,0.4945011,5.325238,2.921854
2023-12-04 11:43:01 AM,1.465364,1.464896,0.4945011,5.325238,2.921854
2023-12-04 12:43:00 PM,1.872126,1.706386,0.5576438,5.454983,3.067017
2023-12-04 1:43:00 PM,2.404039,2.244899,0.5582456,5.454983,3.45573
2023-12-04 2:43:00 PM,4.27454,2.675731,2.010364,5.454983,4.182775
2023-12-04 3:43:00 PM,6.74098,2.831093,3.034898,6.819312,5.051114
2023-12-04 4:43:00 PM,7.687865,3.157486,3.28912,7.18844,5.852099
2023-12-04 5:43:00 PM,8.137962,3.606455,3.28912,7.18844,5.990364
2023-12-04 6:43:00 PM,8.582993,4.050428,3.28912,7.18844,6.162917
2023-12-04 7:43:00 PM,9.022628,4.489056,3.28912,7.18844,6.358049
2023-12-04 8:43:00 PM,9.459081,4.924537,3.28912,7.18844,6.557453
2023-12-04 9:43:00 PM,9.889638,5.354126,3.28912,7.18844,6.735137
2023-12-04 10:43:00 PM,10.3197,5.783132,3.28912,7.18844,6.871187
2023-12-04 11:43:00 PM,10.74979,6.212128,3.28912,7.18844,7.049179
2023-12-05 12:43:00 AM,11.17786,6.63946,3.28912,7.18844,7.301514
2023-12-05 1:43:00 AM,11.60495,7.065926,3.28912,7.18844,7.652765
2023-12-05 2:43:00 AM,12.03169,7.492201,3.28912,7.18844,8.012892
2023-12-05 3:43:00 AM,12.45756,7.917831,3.28912,7.18844,8.363715
2023-12-05 4:43:00 AM,12.88814,8.347485,3.28912,7.18844,8.721789
2023-12-05 5:43:00 AM,13.31822,8.77669,3.28912,7.18844,9.081534
2023-12-05 6:43:00 AM,13.74741,9.205043,3.28912,7.18844,9.441031
2023-12-05 7:43:00 AM,14.17473,9.632004,3.28912,7.18844,9.798232
2023-12-05 8:43:00 AM,14.60784,10.06457,3.28912,7.18844,10.15921
2023-12-05 9:43:00 AM,15.49391,10.49468,3.42008,7.514428,10.94599
2023-12-05 10:43:01 AM,18.07824,11.01618,4.270152,8.773625,13.55551
2023-12-05 11:43:01 AM,20.6977,11.48589,5.138334,10.06431,16.22295
2023-12-05 12:43:00 PM,23.30264,11.95267,6.000412,11.34998,18.82743
2023-12-05 1:43:00 PM,25.84703,12.41005,6.837556,12.60985,21.45791
2023-12-05 2:43:00 PM,28.37466,12.86466,7.667777,13.86271,24.07024
2023-12-05 3:43:00 PM,30.89839,13.31871,8.494717,15.11523,26.67775
2023-12-05 4:43:00 PM,33.41611,13.77216,9.318538,16.36562,29.2825
2023-12-05 5:43:00 PM,35.92533,14.22476,10.13724,17.61291,31.87817
2023-12-05 6:43:00 PM,36.4121,14.71185,10.13724,17.61291,32.29682
2023-12-05 7:43:00 PM,36.89643,15.19737,10.13724,17.61291,32.7225
2023-12-05 8:43:00 PM,37.38015,15.68251,10.13724,17.61291,33.15102
2023-12-05 9:43:00 PM,37.86562,16.16877,10.13724,17.61291,33.58017
2023-12-05 10:43:00 PM,38.34984,16.65435,10.13724,17.61291,34.00848
2023-12-05 11:43:00 PM,38.83496,17.14091,10.13724,17.61291,34.43706
2023-12-06 12:43:00 AM,39.31693,17.62561,10.13724,17.61291,34.86314
2023-12-06 1:43:00 AM,39.79878,18.11024,10.13724,17.61291,35.28944
2023-12-06 2:43:00 AM,40.28114,18.5954,10.13724,17.61291,35.71659
2023-12-06 3:43:00 AM,40.76403,19.08125,10.13724,17.61291,36.14333
2023-12-06 4:43:00 AM,41.24733,19.5675,10.13724,17.61291,36.5689
2023-12-06 5:43:00 AM,41.73066,20.0533,10.13724,17.61291,36.99489
2023-12-06 6:43:00 AM,42.21391,20.5388,10.13724,17.61291,37.42128
2023-12-06 7:43:00 AM,42.69677,21.02359,10.13724,17.61291,37.84671
2023-12-06 8:43:00 AM,43.18679,21.51464,10.13724,17.61291,38.27972
2023-12-06 9:43:00 AM,45.07454,22.17099,10.70202,18.3402,39.94908
2023-12-06 10:43:00 AM,47.55429,22.60756,11.60125,19.49278,42.51247
2023-12-06 11:43:00 AM,50.02567,23.04226,12.49714,20.64246,45.06925
2023-12-06 12:43:00 PM,52.49245,23.47581,13.39076,21.79049,47.62265
2023-12-06 1:43:00 PM,54.98204,23.91144,14.28864,22.95551,50.19963
2023-12-06 2:43:00 PM,57.51368,24.35306,15.19416,24.14888,52.81803
2023-12-06 3:43:00 PM,60.04289,24.79416,16.09857,25.34207,55.43587
